customer_id,recency,frequency,monetary,cluster,segment
12346.0,325,12,77556.46,0,Low-Value
12347.0,1,8,5633.32,0,Low-Value
12348.0,74,5,2019.4,0,Low-Value
12349.0,18,4,4428.69,0,Low-Value
12350.0,309,1,334.4,0,Low-Value
12351.0,374,1,300.93,0,Low-Value
12352.0,35,10,2849.84,0,Low-Value
12353.0,203,2,406.76,0,Low-Value
12354.0,231,1,1079.4,0,Low-Value
12355.0,213,2,947.61,0,Low-Value
12356.0,22,6,6373.68,0,Low-Value
12357.0,32,3,18287.66,0,Low-Value
12358.0,1,5,3887.07,0,Low-Value
12359.0,57,10,8935.94,0,Low-Value
12360.0,51,8,4252.89,0,Low-Value
12361.0,286,4,511.25,0,Low-Value
12362.0,2,11,5356.23,0,Low-Value
12363.0,109,2,552.0,0,Low-Value
12364.0,7,4,1313.1,0,Low-Value
12365.0,290,2,641.38,0,Low-Value
12366.0,633,1,500.24,0,Low-Value
12367.0,3,1,168.9,0,Low-Value
12368.0,627,1,917.6999999999999,0,Low-Value
12369.0,412,3,1791.15,0,Low-Value
12370.0,50,7,4320.31,0,Low-Value
12371.0,44,5,4067.38,0,Low-Value
12372.0,71,3,1298.04,0,Low-Value
12373.0,310,3,1127.65,0,Low-Value
12374.0,24,4,2989.2200000000003,0,Low-Value
12375.0,10,2,457.5,0,Low-Value
12376.0,389,2,503.15,0,Low-Value
12377.0,314,4,3426.32,0,Low-Value
12378.0,129,2,5416.32,0,Low-Value
12379.0,81,4,1620.22,0,Low-Value
12380.0,21,11,9676.300000000001,0,Low-Value
12381.0,4,5,1845.31,0,Low-Value
12383.0,184,5,1850.56,0,Low-Value
12384.0,28,2,585.27,0,Low-Value
12385.0,378,1,1938.4,0,Low-Value
12386.0,337,2,660.8,0,Low-Value
12387.0,414,1,143.94,0,Low-Value
12388.0,15,8,3901.11,0,Low-Value
12389.0,402,3,1433.33,0,Low-Value
12390.0,79,1,549.84,0,Low-Value
12391.0,21,6,2773.42,0,Low-Value
12392.0,590,1,234.75000000000003,0,Low-Value
12393.0,71,6,2399.4500000000003,0,Low-Value
12394.0,63,2,1272.48,0,Low-Value
12395.0,18,15,5067.27,0,Low-Value
12396.0,673,1,931.43,0,Low-Value
12397.0,35,2,2409.9,0,Low-Value
12398.0,45,1,1635.6599999999999,0,Low-Value
12399.0,118,7,1962.3,0,Low-Value
12400.0,413,1,205.25,0,Low-Value
12401.0,302,1,84.3,0,Low-Value
12402.0,322,6,1256.9,0,Low-Value
12403.0,49,2,1019.36,0,Low-Value
12404.0,681,1,63.24,0,Low-Value
12405.0,148,1,1710.39,0,Low-Value
12406.0,21,5,6390.36,0,Low-Value
12407.0,49,5,1708.1200000000001,0,Low-Value
12408.0,32,8,4340.7699999999995,0,Low-Value
12409.0,78,7,23419.29,0,Low-Value
12410.0,308,3,1013.71,0,Low-Value
12411.0,409,1,346.9,0,Low-Value
12412.0,74,6,2596.93,0,Low-Value
12413.0,66,4,999.45,0,Low-Value
12414.0,216,6,952.41,0,Low-Value
12415.0,23,28,144458.37,1,High-Value
12416.0,656,1,202.56,0,Low-Value
12417.0,2,20,6816.91,0,Low-Value
12418.0,112,4,2021.2,0,Low-Value
12419.0,385,2,503.01,0,Low-Value
12420.0,63,1,600.39,0,Low-Value
12421.0,15,6,1098.6,0,Low-Value
12422.0,95,17,5231.8,0,Low-Value
12423.0,0,10,2622.39,0,Low-Value
12424.0,162,4,3340.03,0,Low-Value
12425.0,77,2,1741.41,0,Low-Value
12426.0,194,2,1345.21,0,Low-Value
12427.0,21,3,1129.3,0,Low-Value
12428.0,25,9,7956.46,0,Low-Value
12429.0,8,8,7485.91,0,Low-Value
12430.0,42,1,256.4,0,Low-Value
12431.0,35,27,10857.97,0,Low-Value
12432.0,42,5,5059.32,0,Low-Value
12433.0,0,10,20581.26,0,Low-Value
12434.0,84,3,1103.43,0,Low-Value
12435.0,79,6,13925.93,0,Low-Value
12436.0,99,1,509.01,0,Low-Value
